Date,TR
2022-10-28,0.012070000000000025
2022-10-31,0.012310000000000043
2022-11-01,0.01085999999999987
2022-11-02,0.00607000000000002
2022-11-03,0.01786999999999983
2022-11-04,0.017220000000000013
2022-11-07,0.01149
2022-11-08,0.01191999999999993
2022-11-09,0.019870000000000054
2022-11-10,0.019339999999999913
2022-11-11,0.01869999999999994
2022-11-14,0.02367000000000008
2022-11-15,0.020499999999999963
2022-11-16,0.014680000000000026
2022-11-17,0.00941000000000014
2022-11-18,0.011340000000000128
2022-11-21,0.004429999999999934
2022-11-22,0.005479999999999929
2022-11-23,0.008639999999999981
2022-11-24,0.01527999999999996
2022-11-25,0.010750000000000037
2022-11-28,0.006039999999999823
2022-11-29,0.010270000000000001
2022-11-30,0.009039999999999937
2022-12-01,0.01454999999999984
2022-12-02,0.012510000000000021
2022-12-05,0.008669999999999956
2022-12-06,0.008420000000000094
2022-12-07,0.007709999999999884
2022-12-08,0.005850000000000133
2022-12-09,0.006420000000000092
2022-12-12,0.00611000000000006
2022-12-13,0.009890000000000176
2022-12-14,0.005530000000000035
2022-12-15,0.015579999999999927
2022-12-16,0.02342999999999984
2022-12-19,0.00719000000000003
2022-12-20,0.013900000000000023
2022-12-21,0.010259999999999936
2022-12-22,0.013710000000000111
2022-12-23,0.007749999999999924
2022-12-26,0.1049
2022-12-27,0.01055000000000006
2022-12-28,0.010290000000000132
2022-12-29,0.00666000000000011
2022-12-30,0.006420000000000092
2023-01-02,0.017759999999999998
2023-01-03,0.014880000000000004
2023-01-04,0.007260000000000044
2023-01-05,0.010029999999999983
2023-01-06,0.0091699999999999
2023-01-09,0.01051000000000002
2023-01-10,0.0048200000000000465
2023-01-11,0.010789999999999855
2023-01-12,0.015479999999999938
2023-01-13,0.00702999999999987
2023-01-16,0.006269999999999998
2023-01-17,0.00817000000000001
2023-01-18,0.008689999999999864
2023-01-19,0.005530000000000035
2023-01-20,0.010539999999999994
2023-01-23,0.00761999999999996
2023-01-24,0.00761999999999996
2023-01-25,0.006850000000000023
2023-01-26,0.004070000000000018
2023-01-27,0.0048399999999999554
2023-01-30,0.0044399999999999995
2023-01-31,0.014440000000000008
2023-02-01,0.01741999999999999
2023-02-02,0.011900000000000022
2023-02-03,0.008999999999999897
2023-02-06,0.006879999999999997
2023-02-07,0.009040000000000159
2023-02-08,0.005990000000000162
2023-02-09,0.008020000000000138
2023-02-10,0.008159999999999945
2023-02-13,0.008339999999999792
2023-02-14,0.00918999999999981
2023-02-15,0.013400000000000079
2023-02-16,0.013859999999999983
2023-02-17,0.007810000000000095
2023-02-20,0.004089999999999927
2023-02-21,0.01434000000000002
2023-02-22,0.013009999999999966
2023-02-23,0.0045600000000001195
2023-02-24,0.006389999999999896
2023-02-27,0.00662000000000007
2023-02-28,0.012659999999999894
2023-03-01,0.010019999999999918
2023-03-02,0.009540000000000104
2023-03-03,0.007120000000000015
2023-03-06,0.00719000000000003
2023-03-07,0.011850000000000138
2023-03-08,0.006979999999999986
2023-03-09,0.005279999999999951
2023-03-10,0.008569999999999967
2023-03-13,0.012680000000000025
2023-03-14,0.008850000000000025
2023-03-15,0.007360000000000033
2023-03-16,0.015740000000000087
2023-03-17,0.006310000000000038
2023-03-20,0.011090000000000044
2023-03-21,0.016960000000000086
2023-03-22,0.014270000000000005
2023-03-23,0.006699999999999928
2023-03-24,0.006309999999999816
2023-03-27,0.003850000000000131
2023-03-28,0.010950000000000015
2023-03-29,0.010950000000000015
2023-03-30,0.007110000000000172
2023-03-31,0.008669999999999956
2023-04-03,0.007649999999999935
2023-04-04,0.014270000000000005
2023-04-05,0.008629999999999916
2023-04-06,0.00788000000000011
2023-04-07,0.007489999999999997
2023-04-10,0.00370999999999988
2023-04-11,0.005120000000000013
2023-04-12,0.010539999999999994
2023-04-13,0.011909999999999865
2023-04-14,0.009200000000000097
2023-04-17,0.006739999999999968
2023-04-18,0.007009999999999961
2023-04-19,0.007249999999999979
2023-04-20,0.0045800000000000285
2023-04-21,0.009919999999999929
2023-04-24,0.0050400000000001555
2023-04-25,0.007300000000000084
2023-04-26,0.005399999999999849
2023-04-27,0.011430000000000051
2023-04-28,0.010240000000000027
2023-05-01,0.007120000000000015
2023-05-02,0.010439999999999783
2023-05-03,0.008840000000000181
2023-05-04,0.006670000000000176
2023-05-05,0.017570000000000086
2023-05-08,0.01142999999999983
2023-05-09,0.0045399999999999885
2023-05-10,0.0042599999999999305
2023-05-11,0.008650000000000047
2023-05-12,0.007339999999999902
2023-05-15,0.003630000000000022
2023-05-16,0.0049600000000000755
2023-05-17,0.008720000000000061
2023-05-18,0.005569999999999853
2023-05-19,0.00387000000000004
2023-05-22,0.009740000000000082
2023-05-23,0.0048200000000000465
2023-05-24,0.006770000000000165
2023-05-25,0.005639999999999867
2023-05-26,0.0042800000000000615
2023-05-29,0.004289999999999905
2023-05-30,0.007379999999999942
2023-05-31,0.0164200000000001
2023-06-01,0.014330000000000176
2023-06-02,0.005719999999999947
2023-06-05,0.01051000000000002
2023-06-06,0.006830000000000114
2023-06-07,0.006669999999999954
2023-06-08,0.00761999999999996
2023-06-09,0.007809999999999873
2023-06-12,0.009460000000000024
2023-06-13,0.00770000000000004
2023-06-14,0.005939999999999834
2023-06-15,0.007390000000000008
2023-06-16,0.007509999999999906
2023-06-19,0.008869999999999933
2023-06-20,0.006240000000000023
2023-06-21,0.012079999999999869
2023-06-22,0.010040000000000049
2023-06-23,0.007349999999999968
2023-06-26,0.008899999999999908
2023-06-27,0.006410000000000027
2023-06-28,0.008750000000000036
2023-06-29,0.007370000000000099
2023-06-30,0.007510000000000128
2023-07-03,0.006520000000000081
2023-07-04,0.004489999999999883
2023-07-05,0.005539999999999878
2023-07-06,0.007110000000000172
2023-07-07,0.004110000000000058
2023-07-10,0.00550000000000006
2023-07-11,0.005770000000000053
2023-07-12,0.01261000000000001
2023-07-13,0.01317999999999997
2023-07-14,0.006450000000000067
2023-07-17,0.005970000000000031
2023-07-18,0.008299999999999974
2023-07-19,0.018600000000000172
2023-07-20,0.011599999999999833
2023-07-21,0.008380000000000054
2023-07-24,0.006650000000000045
2023-07-25,0.006099999999999994
2023-07-26,0.005179999999999962
2023-07-27,0.008950000000000014
2023-07-28,0.008289999999999909
2023-07-31,0.010559999999999903
2023-08-01,0.006469999999999976
2023-08-02,0.010420000000000096
2023-08-03,0.011009999999999964
2023-08-04,0.0047399999999999665
2023-08-07,0.005960000000000187
2023-08-08,0.003630000000000022
2023-08-09,0.002969999999999917
2023-08-10,0.0049399999999999444
2023-08-11,0.0048200000000000465
2023-08-14,0.004429999999999934
2023-08-15,0.005750000000000144
2023-08-16,0.008080000000000087
2023-08-17,0.005249999999999977
2023-08-18,0.006199999999999983
2023-08-21,0.005519999999999969
2023-08-22,0.004630000000000134
2023-08-23,0.010650000000000048
2023-08-24,0.007090000000000041
2023-08-25,0.004470000000000196
2023-08-28,0.004310000000000036
2023-08-29,0.007220000000000004
2023-08-30,0.006960000000000077
2023-08-31,0.010199999999999987
2023-09-01,0.004690000000000083
2023-09-04,0.005129999999999857
2023-09-05,0.005810000000000093
2023-09-06,0.004089999999999927
2023-09-07,0.006860000000000088
2023-09-08,0.003449999999999953
2023-09-11,0.005330000000000057
2023-09-12,0.004770000000000163
2023-09-13,0.006160000000000165
2023-09-14,0.006479999999999819
2023-09-15,0.005810000000000093
2023-09-18,0.0040400000000000436
2023-09-19,0.0048200000000000465
2023-09-20,0.00541999999999998
2023-09-21,0.009870000000000045
2023-09-22,0.0037799999999998946
2023-09-25,0.0044599999999999085
2023-09-26,0.003890000000000171
2023-09-27,0.003980000000000095
2023-09-28,0.009419999999999984
2023-09-29,0.006550000000000056
2023-10-02,0.007260000000000044
2023-10-03,0.007349999999999968
2023-10-04,0.005239999999999911
2023-10-05,0.0040400000000000436
2023-10-06,0.003649999999999931
2023-10-09,0.005879999999999885
2023-10-10,0.005009999999999959
2023-10-11,0.004449999999999843
2023-10-12,0.005629999999999802
2023-10-13,0.01536000000000004
2023-10-16,0.010290000000000132
2023-10-17,0.004529999999999923
2023-10-18,0.009959999999999969
2023-10-19,0.009530000000000038
2023-10-20,0.013050000000000006
2023-10-23,0.009499999999999842
2023-10-24,0.007889999999999953
2023-10-25,0.006050000000000111
2023-10-26,0.005889999999999951
2023-10-27,0.011789999999999967
2023-10-27,0.008610000000000007
